id;title;description;meeting_date;is_private;owner_id;game_id
1;BG3 night fever;On fait du BG3 toute la night !;2024-01-01 20:30:00.000000;false;2;1
2;BG3 night fever private;On fait du BG3 toute la night ! Mais cette fois en commité restreint.;2024-07-02 20:00:00.000000;true;2;1
3;Soirée voleur;Je veux que des voleurs pour cette run.;2023-10-23 21:00:00.000000;false;11;1
4;Gnomes Only !;Je recherche des gnomes actifs pour plusieurs games;2024-07-15 14:14:00.000000;false;12;1
5;Early access try hard;On sèche l'early access du game ce soir !;2023-10-20 20:30:00.000000;true;12;1
6;Diams;5 parties avec que des diamants.;2023-10-21 19:00:00.000000;true;13;2
7;Parties normales;Je suis bronze et je cherches 4 joueurs de mon niveau pour ce week-end.;2023-12-15 19:30:00.000000;false;14;2
8;Salon VIP;Après-midi avec que mes amis trié sur le volet <3;2024-07-23 14:45:00.000000;true;14;2
9;5v5 sur map custom;Lorem ipsum dolor sit amet consectetur adipiscing elit neque varius dictumst placerat potenti, at dictum aptent condimentum bibendum rutrum eu nulla nec faucibus taciti, inceptos interdum ut torquent volutpat vulputate quisque nibh egestas aenean lectus. Vitae quisque habitant augue lacus sed nostra ante commodo congue parturient quis, erat velit ligula massa id suscipit pulvinar fermentum cum tristique. Fermentum nisi praesent habitant id nullam quis pellentesque sodales porta, tempor arcu dapibus dui nec vulputate aenean volutpat, eros penatibus platea velit diam convallis curae taciti. Litora nascetur aenean mattis primis egestas lobortis urna, in facilisis elementum cursus gravida rhoncus auctor, eros aptent vel nulla placerat quam. Velit pretium sollicitudin aliquam maecenas taciti diam faucibus, cum sapien accumsan nulla laoreet consequat, a nec est iaculis rhoncus nam. Eleifend tortor condimentum habitasse aliquam auctor tellus litora sociis nisl molestie bibendum donec habitant vitae facilisi, sem la.;2024-07-16 09:30:00.000000;false;14;3
10;Soirée classé !;Focus sur les matchs classés pour grimper en niveau;2023-10-09 03:45:39.000000;true;14;3
